[Run 006] Epoch 018, Avg Reward: -4.36
[Run 006] Epoch 019, Avg Reward: -4.39
[Run 006] Epoch 020, Avg Reward: -4.64
[Run 006] Epoch 021, Avg Reward: -4.47
[Run 006] Epoch 022, Avg Reward: -4.65
[Run 006] Epoch 023, Avg Reward: -4.01
[Run 006] Epoch 024, Avg Reward: -4.05
[Run 006] Epoch 025, Avg Reward: -4.38
[Run 006] Epoch 026, Avg Reward: -4.71
[Run 006] Epoch 027, Avg Reward: -3.93
[Run 006] Epoch 028, Avg Reward: -4.25
[Run 006] Epoch 029, Avg Reward: -3.90
[Run 006] Epoch 030, Avg Reward: -3.83
[Run 006] Epoch 031, Avg Reward: -3.92
[Run 006] Epoch 032, Avg Reward: -4.40
[Run 006] Epoch 033, Avg Reward: -3.97
[Run 006] Epoch 034, Avg Reward: -3.71
[Run 006] Epoch 035, Avg Reward: -3.69
[Run 006] Epoch 036, Avg Reward: -3.39
[Run 006] Epoch 037, Avg Reward: -3.74
[Run 006] Epoch 038, Avg Reward: -3.53
[Run 006] Epoch 039, Avg Reward: -3.40
[Run 006] Epoch 040, Avg Reward: -3.65
[Run 006] Epoch 041, Avg Reward: -3.20
[Run 006] Epoch 042, Avg Reward: -3.19
[Run 006] Epoch 043, Avg Reward: -3.44
[Run 006] Epoch 044, Avg Reward: -3.34
[Run 006] Epoch 045, Avg Reward: -3.14
[Run 006] Epoch 046, Avg Reward: -2.88
[Run 006] Epoch 047, Avg Reward: -3.22
[Run 006] Epoch 048, Avg Reward: -2.89
[Run 006] Epoch 049, Avg Reward: -2.91
[Run 006] Epoch 050, Avg Reward: -3.01
[Run 006] Epoch 051, Avg Reward: -3.08
[Run 006] Epoch 052, Avg Reward: -2.87
[Run 006] Epoch 053, Avg Reward: -2.88
[Run 006] Epoch 054, Avg Reward: -3.05
[Run 006] Epoch 055, Avg Reward: -3.02
[Run 006] Epoch 056, Avg Reward: -2.90
[Run 006] Epoch 057, Avg Reward: -2.82
[Run 006] Epoch 058, Avg Reward: -3.03
[Run 006] Epoch 059, Avg Reward: -2.85
